ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes
1714329102.0,C958791,10.0.1.5,43892,192.168.1.1,8080,tcp,http,0.28036,1450,1159,SF,0,ShADadfF,19,1570,12,1279
1714329105.0,C337435,198.51.100.5,62147,192.168.1.1,8080,tcp,http,1.2752,2319,48046,SF,0,ShADadfF,4,2439,8,48166
1714329109.0,C848563,198.51.100.5,19602,10.0.0.2,443,tcp,http,1.653242,1107,36696,SF,0,ShADadfF,3,1227,5,36816
1714329116.0,C941258,10.0.2.10,55271,10.0.0.2,8443,tcp,http,0.44926,4399,5258,SF,0,ShADadfF,8,4519,13,5378
1714329124.0,C575799,203.0.113.200,11390,10.0.0.2,8080,tcp,http,1.047869,1994,34813,SF,0,ShADadfF,16,2114,20,34933
1714329134.0,C952182,10.0.1.5,53133,192.168.1.1,8080,tcp,http,1.508848,4267,13315,SF,0,ShADadfF,15,4387,16,13435
1714329144.0,C349858,192.168.1.50,14729,192.168.1.1,80,tcp,http,0.695441,1768,6290,SF,0,ShADadfF,13,1888,8,6410
1714329147.0,C793157,10.0.2.10,34231,192.168.1.1,8443,tcp,http,1.232381,1816,1722,SF,0,ShADadfF,19,1936,10,1842
1714329155.0,C603265,192.168.1.50,56304,10.0.0.2,8443,tcp,http,0.569553,3282,19312,SF,0,ShADadfF,9,3402,19,19432
1714329163.0,C280570,203.0.113.200,42655,10.0.0.1,443,tcp,http,0.547813,3028,49177,SF,0,ShADadfF,13,3148,14,49297
1714329168.0,C752466,192.168.1.50,37050,10.0.0.1,443,tcp,http,1.799156,1746,11792,SF,0,ShADadfF,18,1866,3,11912
1714329172.0,C929065,192.168.1.50,13751,192.168.1.1,80,tcp,http,0.235211,1590,31707,SF,0,ShADadfF,4,1710,11,31827
1714329175.0,C367687,198.51.100.5,61869,10.0.0.2,80,tcp,http,1.894141,2590,42034,SF,0,ShADadfF,18,2710,20,42154
1714329176.0,C682444,203.0.113.200,41010,10.0.0.1,8080,tcp,http,0.318868,561,24740,SF,0,ShADadfF,4,681,18,24860
1714329180.0,C195550,10.0.1.5,46345,10.0.0.2,8443,tcp,http,1.084118,4258,29131,SF,0,ShADadfF,3,4378,6,29251
1714329181.0,C811777,203.0.113.200,47862,192.168.1.1,8080,tcp,http,2.423748,3679,3040,SF,0,ShADadfF,7,3799,12,3160
1714329182.0,C165604,198.51.100.5,53683,10.0.0.2,8443,tcp,http,0.918907,1564,22680,SF,0,ShADadfF,6,1684,14,22800
1714329186.0,C262277,192.168.1.50,56712,10.0.0.1,80,tcp,http,0.118172,4883,28307,SF,0,ShADadfF,15,5003,15,28427
1714329195.0,C550456,198.51.100.5,24682,10.0.0.1,8080,tcp,http,1.734066,3993,18621,SF,0,ShADadfF,13,4113,12,18741
1714329202.0,C953220,10.0.1.5,53970,10.0.0.2,8443,tcp,http,1.353261,277,9196,SF,0,ShADadfF,10,397,19,9316
1714329206.0,C750279,192.168.1.50,28135,10.0.0.1,443,tcp,http,0.10408,3363,1362,SF,0,ShADadfF,12,3483,4,1482
1714329208.0,C265257,198.51.100.5,51099,192.168.1.1,443,tcp,http,0.163035,3684,4724,SF,0,ShADadfF,8,3804,12,4844
1714329209.0,C339067,203.0.113.200,58011,10.0.0.1,80,tcp,http,1.558972,4735,13268,SF,0,ShADadfF,11,4855,20,13388
1714329218.0,C320926,203.0.113.200,14928,10.0.0.1,443,tcp,http,2.460344,251,23983,SF,0,ShADadfF,3,371,16,24103
1714329220.0,C194119,192.168.1.50,12538,192.168.1.1,8080,tcp,http,0.220541,821,41918,SF,0,ShADadfF,20,941,7,42038
1714329222.0,C508886,203.0.113.200,48834,10.0.0.1,8080,tcp,http,2.338516,3733,48528,SF,0,ShADadfF,13,3853,9,48648
1714329230.0,C749580,192.168.1.50,28171,10.0.0.2,8080,tcp,http,1.439705,4660,29462,SF,0,ShADadfF,14,4780,4,29582
1714329232.0,C358585,10.0.1.5,13209,10.0.0.2,8080,tcp,http,0.762484,1318,34327,SF,0,ShADadfF,9,1438,14,34447
1714329235.0,C579748,10.0.1.5,7688,192.168.1.1,80,tcp,http,1.509141,858,35391,SF,0,ShADadfF,17,978,10,35511
1714329238.0,C436734,192.168.1.50,16305,192.168.1.1,8080,tcp,http,0.463372,2025,15291,SF,0,ShADadfF,10,2145,17,15411
1714329244.0,C218250,10.0.1.5,34399,10.0.0.1,8080,tcp,http,1.852579,564,40763,SF,0,ShADadfF,6,684,4,40883
1714329254.0,C593351,192.168.1.50,32360,10.0.0.1,8080,tcp,http,0.91338,3253,27986,SF,0,ShADadfF,5,3373,15,28106
1714329259.0,C245661,10.0.2.10,65316,192.168.1.1,443,tcp,http,2.184312,818,16536,SF,0,ShADadfF,15,938,14,16656
1714329268.0,C470821,192.168.1.50,53777,10.0.0.1,8443,tcp,http,2.258692,2861,10042,SF,0,ShADadfF,16,2981,20,10162
1714329271.0,C626195,10.0.2.10,6624,10.0.0.1,8443,tcp,http,2.228783,1300,10065,SF,0,ShADadfF,12,1420,16,10185
1714329280.0,C923026,192.168.1.50,35253,10.0.0.2,443,tcp,http,2.361375,3001,11524,SF,0,ShADadfF,17,3121,11,11644
1714329290.0,C972133,192.168.1.50,39738,10.0.0.1,8080,tcp,http,1.332818,1209,22853,SF,0,ShADadfF,15,1329,10,22973
1714329295.0,C284226,10.0.2.10,50352,10.0.0.2,443,tcp,http,0.266611,1408,43820,SF,0,ShADadfF,5,1528,14,43940
1714329301.0,C515964,10.0.2.10,22208,10.0.0.2,80,tcp,http,2.427504,1975,34054,SF,0,ShADadfF,8,2095,15,34174
1714329306.0,C352884,192.168.1.50,36820,192.168.1.1,80,tcp,http,2.215381,605,4180,SF,0,ShADadfF,19,725,15,4300
1714329313.0,C333444,192.168.1.50,54323,192.168.1.1,8080,tcp,http,1.001706,4264,20763,SF,0,ShADadfF,15,4384,6,20883
1714329322.0,C278194,192.168.1.50,13248,192.168.1.1,8443,tcp,http,1.197468,3466,25086,SF,0,ShADadfF,9,3586,5,25206
1714329332.0,C464854,198.51.100.5,7698,192.168.1.1,8443,tcp,http,0.21325,4031,19919,SF,0,ShADadfF,19,4151,15,20039
1714329335.0,C534183,10.0.2.10,58933,192.168.1.1,8443,tcp,http,0.976464,1896,21962,SF,0,ShADadfF,14,2016,17,22082
1714329336.0,C124839,198.51.100.5,35875,10.0.0.2,80,tcp,http,1.657689,4040,2514,SF,0,ShADadfF,20,4160,8,2634
1714329337.0,C326290,203.0.113.200,20659,192.168.1.1,443,tcp,http,0.752972,959,28487,SF,0,ShADadfF,4,1079,3,28607
1714329342.0,C338884,198.51.100.5,40711,10.0.0.1,8443,tcp,http,1.133013,4311,28683,SF,0,ShADadfF,9,4431,12,28803
1714329347.0,C250726,10.0.1.5,56734,192.168.1.1,443,tcp,http,1.808417,1170,31722,SF,0,ShADadfF,12,1290,5,31842
1714329357.0,C373943,10.0.2.10,21599,10.0.0.2,80,tcp,http,0.893825,4573,44852,SF,0,ShADadfF,7,4693,20,44972
1714329361.0,C743660,10.0.2.10,6361,10.0.0.2,443,tcp,http,1.793772,1163,21139,SF,0,ShADadfF,17,1283,12,21259
1714329364.0,C225125,198.51.100.5,60108,10.0.0.2,8443,tcp,http,0.736043,3623,1812,SF,0,ShADadfF,15,3743,14,1932
1714329372.0,C693159,10.0.2.10,25248,192.168.1.1,80,tcp,http,1.014861,1954,38324,SF,0,ShADadfF,18,2074,20,38444
1714329379.0,C419872,198.51.100.5,57154,10.0.0.2,80,tcp,http,1.766652,3491,9637,SF,0,ShADadfF,7,3611,17,9757
1714329385.0,C655632,192.168.1.50,33695,192.168.1.1,443,tcp,http,1.06213,4828,11858,SF,0,ShADadfF,13,4948,9,11978
1714329390.0,C568856,192.168.1.50,18418,10.0.0.1,8443,tcp,http,0.368762,640,45103,SF,0,ShADadfF,12,760,3,45223
1714329391.0,C129646,198.51.100.5,42981,192.168.1.1,80,tcp,http,0.041616,4838,13898,SF,0,ShADadfF,7,4958,6,14018
1714329393.0,C424084,10.0.2.10,40220,10.0.0.1,443,tcp,http,1.386954,2752,18527,SF,0,ShADadfF,4,2872,7,18647
1714329397.0,C463657,198.51.100.5,56558,10.0.0.1,80,tcp,http,0.219693,4221,25544,SF,0,ShADadfF,3,4341,19,25664
1714329398.0,C479682,10.0.2.10,21422,192.168.1.1,443,tcp,http,2.44881,997,22896,SF,0,ShADadfF,13,1117,11,23016
1714329400.0,C169551,198.51.100.5,1933,192.168.1.1,8080,tcp,http,0.279495,172,44544,SF,0,ShADadfF,4,292,6,44664
1714329404.0,C955641,10.0.2.10,58041,10.0.0.2,8443,tcp,http,0.587921,3132,18714,SF,0,ShADadfF,6,3252,17,18834
1714329411.0,C625808,192.168.1.50,46337,10.0.0.2,8443,tcp,http,2.195496,4511,48327,SF,0,ShADadfF,11,4631,9,48447
1714329419.0,C136892,203.0.113.200,34977,10.0.0.2,8080,tcp,http,2.310992,4117,18271,SF,0,ShADadfF,9,4237,5,18391
1714329428.0,C659634,192.168.1.50,20253,192.168.1.1,8443,tcp,http,0.128671,120,41269,SF,0,ShADadfF,9,240,6,41389
1714329429.0,C540010,203.0.113.200,2239,192.168.1.1,443,tcp,http,2.196268,1398,943,SF,0,ShADadfF,8,1518,8,1063
1714329437.0,C570573,10.0.2.10,2722,10.0.0.1,8443,tcp,http,2.174642,3710,32806,SF,0,ShADadfF,14,3830,20,32926
1714329443.0,C973819,10.0.2.10,21698,192.168.1.1,443,tcp,http,2.496334,4719,14810,SF,0,ShADadfF,14,4839,16,14930
1714329444.0,C890390,198.51.100.5,39265,10.0.0.2,80,tcp,http,0.587269,1915,2784,SF,0,ShADadfF,11,2035,3,2904
1714329445.0,C279051,10.0.1.5,3030,192.168.1.1,8080,tcp,http,0.684091,366,6438,SF,0,ShADadfF,5,486,5,6558
1714329447.0,C509220,10.0.2.10,31102,10.0.0.2,80,tcp,http,0.748287,2381,22858,SF,0,ShADadfF,6,2501,19,22978
1714329449.0,C983103,192.168.1.50,1769,10.0.0.2,443,tcp,http,2.309234,4964,40178,SF,0,ShADadfF,13,5084,8,40298
1714329452.0,C211307,198.51.100.5,51082,192.168.1.1,8080,tcp,http,1.235071,3479,40564,SF,0,ShADadfF,3,3599,18,40684
1714329454.0,C238270,192.168.1.50,52113,10.0.0.2,443,tcp,http,2.419975,2059,32015,SF,0,ShADadfF,14,2179,20,32135
1714329460.0,C691046,10.0.1.5,13255,10.0.0.2,8443,tcp,http,1.381251,4335,13099,SF,0,ShADadfF,4,4455,16,13219
1714329463.0,C154701,192.168.1.50,56201,192.168.1.1,80,tcp,http,0.97036,451,38414,SF,0,ShADadfF,11,571,10,38534
1714329471.0,C192881,10.0.1.5,50326,10.0.0.1,443,tcp,http,2.383299,4090,11756,SF,0,ShADadfF,17,4210,16,11876
1714329478.0,C971819,10.0.2.10,4493,10.0.0.1,8443,tcp,http,2.103769,511,35071,SF,0,ShADadfF,13,631,13,35191
1714329484.0,C100378,192.168.1.50,48608,10.0.0.1,80,tcp,http,0.947462,2846,38446,SF,0,ShADadfF,12,2966,11,38566
1714329491.0,C905800,203.0.113.200,15296,10.0.0.1,8080,tcp,http,1.911925,3281,43835,SF,0,ShADadfF,10,3401,11,43955
1714329493.0,C360700,10.0.2.10,38555,10.0.0.1,8080,tcp,http,2.31262,4500,24798,SF,0,ShADadfF,20,4620,16,24918
1714329497.0,C345570,10.0.2.10,37655,192.168.1.1,80,tcp,http,1.100229,3593,20780,SF,0,ShADadfF,8,3713,6,20900
1714329507.0,C337680,198.51.100.5,25220,10.0.0.2,443,tcp,http,2.352628,2795,49521,SF,0,ShADadfF,12,2915,3,49641
1714329510.0,C510195,10.0.2.10,45157,192.168.1.1,443,tcp,http,1.852251,165,469,SF,0,ShADadfF,12,285,9,589
1714329515.0,C945221,203.0.113.200,16986,10.0.0.2,8080,tcp,http,1.112846,2581,48193,SF,0,ShADadfF,17,2701,9,48313
1714329525.0,C414371,192.168.1.50,57392,10.0.0.1,8443,tcp,http,1.48099,646,33576,SF,0,ShADadfF,12,766,19,33696
1714329531.0,C357503,192.168.1.50,59070,10.0.0.1,80,tcp,http,0.948405,1289,11714,SF,0,ShADadfF,17,1409,10,11834
1714329534.0,C646064,203.0.113.200,8557,192.168.1.1,80,tcp,http,2.029995,3632,20574,SF,0,ShADadfF,17,3752,3,20694
1714329536.0,C833840,198.51.100.5,52880,192.168.1.1,80,tcp,http,0.626362,3034,11297,SF,0,ShADadfF,15,3154,14,11417
1714329546.0,C375486,198.51.100.5,61314,192.168.1.1,8080,tcp,http,1.102453,3246,16595,SF,0,ShADadfF,20,3366,4,16715
1714329552.0,C685236,198.51.100.5,30934,10.0.0.1,443,tcp,http,1.427253,1397,43405,SF,0,ShADadfF,4,1517,12,43525
1714329557.0,C977558,10.0.1.5,2031,192.168.1.1,8080,tcp,http,0.091445,1793,35471,SF,0,ShADadfF,14,1913,12,35591
1714329564.0,C768673,192.168.1.50,18420,192.168.1.1,443,tcp,http,0.257565,3050,370,SF,0,ShADadfF,10,3170,9,490
1714329565.0,C600549,10.0.2.10,23596,192.168.1.1,443,tcp,http,0.111756,1637,29995,SF,0,ShADadfF,3,1757,14,30115
1714329572.0,C623008,10.0.2.10,19493,192.168.1.1,80,tcp,http,1.165947,2024,39545,SF,0,ShADadfF,17,2144,4,39665
1714329580.0,C148784,192.168.1.50,5206,10.0.0.2,443,tcp,http,2.199254,1493,11808,SF,0,ShADadfF,7,1613,6,11928
1714329581.0,C320680,192.168.1.50,59180,10.0.0.2,8080,tcp,http,0.666408,3584,36518,SF,0,ShADadfF,12,3704,11,36638
1714329588.0,C573547,192.168.1.50,45141,10.0.0.2,8443,tcp,http,2.043912,3900,28483,SF,0,ShADadfF,10,4020,4,28603
1714329590.0,C118725,198.51.100.5,1312,10.0.0.1,8080,tcp,http,0.931101,3781,45774,SF,0,ShADadfF,8,3901,13,45894
1714329600.0,C982123,198.51.100.5,48437,10.0.0.1,443,tcp,http,2.076258,365,38848,SF,0,ShADadfF,7,485,16,38968
1714329605.0,C369635,10.0.2.10,33264,192.168.1.1,80,tcp,http,2.110431,3745,40582,SF,0,ShADadfF,10,3865,12,40702
1714329611.0,C864909,10.0.2.10,13306,10.0.0.1,8443,tcp,http,1.712098,4144,17600,SF,0,ShADadfF,14,4264,3,17720
1714329617.0,C710871,10.0.1.5,1913,192.168.1.1,8080,tcp,http,0.107267,2539,45922,SF,0,ShADadfF,14,2659,14,46042
1714329621.0,C747886,203.0.113.200,20323,10.0.0.2,443,tcp,http,0.849604,588,3201,SF,0,ShADadfF,15,708,9,3321
1714329629.0,C606113,203.0.113.200,31408,10.0.0.1,80,tcp,http,0.121488,494,2672,SF,0,ShADadfF,5,614,9,2792
1714329636.0,C224657,203.0.113.200,5815,10.0.0.1,8080,tcp,http,2.336918,1296,18376,SF,0,ShADadfF,12,1416,18,18496
1714329645.0,C190227,203.0.113.200,33655,10.0.0.1,443,tcp,http,2.041611,3447,46110,SF,0,ShADadfF,5,3567,19,46230
1714329651.0,C935123,203.0.113.200,5473,10.0.0.2,443,tcp,http,0.773258,1499,10806,SF,0,ShADadfF,3,1619,5,10926
1714329654.0,C647368,203.0.113.200,26884,192.168.1.1,8443,tcp,http,1.736044,4417,46353,SF,0,ShADadfF,18,4537,16,46473
1714329657.0,C955428,198.51.100.5,28366,192.168.1.1,8080,tcp,http,1.606561,867,38909,SF,0,ShADadfF,15,987,20,39029
1714329662.0,C523608,203.0.113.200,22738,10.0.0.1,80,tcp,http,0.364969,3240,32116,SF,0,ShADadfF,14,3360,20,32236
1714329664.0,C923136,10.0.1.5,47468,192.168.1.1,8080,tcp,http,1.595372,2585,16226,SF,0,ShADadfF,15,2705,5,16346
1714329674.0,C148666,198.51.100.5,62915,10.0.0.2,80,tcp,http,1.557638,2613,30475,SF,0,ShADadfF,15,2733,17,30595
1714329677.0,C193221,198.51.100.5,28690,10.0.0.1,80,tcp,http,1.523748,1627,36273,SF,0,ShADadfF,11,1747,11,36393
1714329680.0,C879591,10.0.2.10,2927,10.0.0.1,443,tcp,http,2.136625,3365,24668,SF,0,ShADadfF,9,3485,11,24788
1714329688.0,C812282,10.0.2.10,23429,10.0.0.1,8443,tcp,http,0.268477,3088,41865,SF,0,ShADadfF,5,3208,7,41985
1714329690.0,C556283,10.0.1.5,62936,10.0.0.2,443,tcp,http,2.210396,1415,10703,SF,0,ShADadfF,14,1535,5,10823
1714329691.0,C925137,192.168.1.50,55635,10.0.0.1,8443,tcp,http,0.891351,2675,18498,SF,0,ShADadfF,3,2795,5,18618
1714329694.0,C264836,10.0.1.5,46687,192.168.1.1,443,tcp,http,1.180677,736,15308,SF,0,ShADadfF,8,856,14,15428
1714329698.0,C639845,10.0.1.5,64737,192.168.1.1,8080,tcp,http,1.950983,2778,23128,SF,0,ShADadfF,6,2898,9,23248
1714329708.0,C999580,198.51.100.5,42843,10.0.0.2,443,tcp,http,1.261143,2249,44126,SF,0,ShADadfF,17,2369,5,44246
1714329716.0,C652630,10.0.2.10,20682,10.0.0.2,80,tcp,http,0.873055,4846,706,SF,0,ShADadfF,20,4966,20,826
1714329723.0,C340587,10.0.2.10,63647,10.0.0.2,8080,tcp,http,1.538771,4141,25623,SF,0,ShADadfF,14,4261,14,25743
1714329729.0,C572697,198.51.100.5,13117,10.0.0.2,443,tcp,http,1.914099,3705,7702,SF,0,ShADadfF,15,3825,19,7822
1714329737.0,C194661,203.0.113.200,5333,10.0.0.1,80,tcp,http,2.218622,2665,16316,SF,0,ShADadfF,8,2785,7,16436
1714329743.0,C438947,198.51.100.5,21362,192.168.1.1,443,tcp,http,2.212018,2026,32172,SF,0,ShADadfF,18,2146,6,32292
1714329752.0,C275850,198.51.100.5,19345,10.0.0.1,8443,tcp,http,1.043094,3288,11574,SF,0,ShADadfF,17,3408,16,11694
1714329757.0,C671625,198.51.100.5,62015,10.0.0.1,8443,tcp,http,1.795593,2065,3930,SF,0,ShADadfF,20,2185,8,4050
1714329758.0,C732031,192.168.1.50,28057,192.168.1.1,8080,tcp,http,0.629294,696,29235,SF,0,ShADadfF,5,816,13,29355
1714329766.0,C850289,10.0.2.10,50175,10.0.0.1,80,tcp,http,1.550138,3137,37098,SF,0,ShADadfF,4,3257,5,37218
1714329772.0,C220455,198.51.100.5,39242,10.0.0.2,443,tcp,http,1.494432,2656,34180,SF,0,ShADadfF,19,2776,16,34300
1714329777.0,C436717,10.0.2.10,63552,10.0.0.2,80,tcp,http,1.211705,4323,40286,SF,0,ShADadfF,3,4443,14,40406
1714329782.0,C176356,10.0.2.10,19550,192.168.1.1,443,tcp,http,2.062157,4885,7439,SF,0,ShADadfF,8,5005,18,7559
1714329788.0,C888799,10.0.2.10,44208,10.0.0.2,80,tcp,http,1.61871,2308,48704,SF,0,ShADadfF,13,2428,15,48824
1714329791.0,C520537,192.168.1.50,28864,10.0.0.2,8443,tcp,http,0.289843,3146,32752,SF,0,ShADadfF,9,3266,16,32872
1714329793.0,C650635,198.51.100.5,6969,192.168.1.1,8080,tcp,http,1.916996,2570,43610,SF,0,ShADadfF,8,2690,7,43730
1714329803.0,C757946,203.0.113.200,19577,10.0.0.2,8443,tcp,http,1.816589,3203,14276,SF,0,ShADadfF,10,3323,10,14396
1714329812.0,C515719,10.0.1.5,44744,45.33.32.156,443,tcp,ssl,49.279769,18437561,882,SF,0,ShADadfF,253,18445561,9,1082
1714329884.0,C389017,10.0.1.5,33345,195.54.160.149,443,tcp,ssl,117.877362,7625359,101,SF,0,ShADadfF,342,7633359,9,301
1714329942.0,C283843,10.0.1.5,5245,195.54.160.149,443,tcp,ssl,153.15713,31178139,270,SF,0,ShADadfF,186,31186139,10,470
1714330032.0,C459863,10.0.1.5,7688,45.33.32.156,443,tcp,ssl,248.807567,8221552,679,SF,0,ShADadfF,362,8229552,4,879
1714330139.0,C643868,10.0.1.5,28582,45.33.32.156,443,tcp,ssl,84.618655,22687838,618,SF,0,ShADadfF,371,22695838,3,818
1714330235.0,C356165,192.168.1.50,6286,195.54.160.149,443,tcp,ssl,131.375719,44132153,153,SF,0,ShADadfF,491,44140153,8,353
1714330299.0,C727107,10.0.1.5,37044,45.33.32.156,443,tcp,ssl,165.442282,33447752,809,SF,0,ShADadfF,443,33455752,9,1009
1714330393.0,C359660,192.168.1.50,39213,195.54.160.149,443,tcp,ssl,292.782911,48034414,856,SF,0,ShADadfF,244,48042414,5,1056
1714330479.0,C913087,10.0.1.5,59326,45.33.32.156,443,tcp,ssl,260.25798,14017064,498,SF,0,ShADadfF,332,14025064,5,698
1714330599.0,C450002,10.0.1.5,25368,45.33.32.156,443,tcp,ssl,81.589149,26432200,509,SF,0,ShADadfF,150,26440200,5,709
1714330662.0,C547914,10.0.1.5,37371,45.33.32.156,443,tcp,ssl,24.88218,48187350,177,SF,0,ShADadfF,484,48195350,7,377
1714330754.0,C661791,10.0.1.5,59233,45.33.32.156,443,tcp,ssl,200.032062,26008187,343,SF,0,ShADadfF,303,26016187,7,543
1714330817.0,C113161,10.0.1.5,58565,45.33.32.156,443,tcp,ssl,112.252935,5996344,287,SF,0,ShADadfF,106,6004344,9,487
1714330936.0,C118716,192.168.1.50,27964,45.33.32.156,443,tcp,ssl,59.722244,11970142,744,SF,0,ShADadfF,145,11978142,10,944
1714331020.0,C552639,192.168.1.50,61808,45.33.32.156,443,tcp,ssl,90.32132,19361278,653,SF,0,ShADadfF,234,19369278,5,853
1714331116.0,C985440,10.0.1.5,37691,45.33.32.156,443,tcp,ssl,60.669843,30111046,912,SF,0,ShADadfF,183,30119046,10,1112
1714331160.0,C766160,192.168.1.50,58450,45.33.32.156,443,tcp,ssl,213.551895,31580811,599,SF,0,ShADadfF,133,31588811,6,799
1714331243.0,C360239,192.168.1.50,11227,195.54.160.149,443,tcp,ssl,253.964981,6983377,408,SF,0,ShADadfF,121,6991377,9,608
1714331331.0,C316724,10.0.1.5,7476,195.54.160.149,443,tcp,ssl,270.583464,36629928,420,SF,0,ShADadfF,433,36637928,7,620
1714331383.0,C904983,192.168.1.50,46177,45.33.32.156,443,tcp,ssl,257.818099,6955934,105,SF,0,ShADadfF,286,6963934,4,305
1714331445.0,C522756,10.0.1.5,58678,45.33.32.156,443,tcp,ssl,252.463382,41658483,423,SF,0,ShADadfF,470,41666483,4,623
1714331526.0,C140923,192.168.1.50,52169,195.54.160.149,443,tcp,ssl,53.507648,43963386,223,SF,0,ShADadfF,356,43971386,8,423
1714331637.0,C629437,10.0.1.5,48078,45.33.32.156,443,tcp,ssl,216.70084,47595517,878,SF,0,ShADadfF,438,47603517,10,1078
1714331679.0,C959662,10.0.1.5,23722,45.33.32.156,443,tcp,ssl,170.652768,14116984,845,SF,0,ShADadfF,394,14124984,8,1045
1714331713.0,C515844,10.0.1.5,10986,45.33.32.156,443,tcp,ssl,187.948148,46561779,811,SF,0,ShADadfF,118,46569779,4,1011
1714331829.0,C304737,192.168.1.50,20942,195.54.160.149,443,tcp,ssl,147.697023,16852812,915,SF,0,ShADadfF,347,16860812,7,1115
1714331937.0,C740203,192.168.1.50,34132,195.54.160.149,443,tcp,ssl,124.384343,45342756,863,SF,0,ShADadfF,429,45350756,3,1063
1714331978.0,C956255,192.168.1.50,58966,45.33.32.156,443,tcp,ssl,13.589271,19431694,605,SF,0,ShADadfF,278,19439694,5,805
1714332042.0,C432079,192.168.1.50,8161,45.33.32.156,443,tcp,ssl,152.528134,47964788,977,SF,0,ShADadfF,204,47972788,8,1177
1714332096.0,C860341,192.168.1.50,40336,45.33.32.156,443,tcp,ssl,55.371341,12082333,592,SF,0,ShADadfF,275,12090333,6,792
1714332201.0,C586841,192.168.1.50,1335,45.33.32.156,443,tcp,ssl,128.016218,34601980,285,SF,0,ShADadfF,142,34609980,3,485
1714332289.0,C507887,192.168.1.50,62348,45.33.32.156,443,tcp,ssl,113.536454,23115652,706,SF,0,ShADadfF,163,23123652,3,906
1714332386.0,C947326,10.0.1.5,26712,195.54.160.149,443,tcp,ssl,161.905656,13985836,229,SF,0,ShADadfF,448,13993836,3,429
1714332456.0,C604211,10.0.1.5,11809,45.33.32.156,443,tcp,ssl,133.998708,48842605,483,SF,0,ShADadfF,279,48850605,6,683
1714332537.0,C290469,192.168.1.50,48118,45.33.32.156,443,tcp,ssl,199.961558,37985641,261,SF,0,ShADadfF,480,37993641,8,461
1714332604.0,C754226,10.0.1.5,58314,195.54.160.149,443,tcp,ssl,185.353181,24470870,110,SF,0,ShADadfF,369,24478870,10,310
1714332676.0,C115530,10.0.1.5,10072,195.54.160.149,443,tcp,ssl,116.808114,25599258,986,SF,0,ShADadfF,187,25607258,4,1186
1714332746.0,C271308,192.168.1.50,47200,45.33.32.156,443,tcp,ssl,253.790596,20641479,273,SF,0,ShADadfF,408,20649479,6,473
1714332848.0,C396027,192.168.1.50,28864,45.33.32.156,443,tcp,ssl,126.972026,33464871,559,SF,0,ShADadfF,212,33472871,10,759
1714332953.0,C712807,192.168.1.50,29813,45.33.32.156,443,tcp,ssl,98.087714,45700655,977,SF,0,ShADadfF,131,45708655,10,1177
1714333025.0,C890716,10.0.1.5,29345,195.54.160.149,443,tcp,ssl,187.727034,42861371,845,SF,0,ShADadfF,271,42869371,5,1045
1714333119.0,C638439,10.0.1.5,28862,195.54.160.149,443,tcp,ssl,144.820195,12527716,865,SF,0,ShADadfF,142,12535716,10,1065
